node_1,node_2,distance
Muzeum,I. P. Pavlova,2
Muzeum,Italska,2
Myslikova,Jiraskovo namesti,1
Myslikova,Lazarska,1
Na Grosi,Hostivarska,1
Na Grosi,Obchodni centrum Hostivar,1
Na Homoli,Malesicka tovarna,0
Na Homoli,Ustredni dilny DP,1
Na Hroude,Nadrazi Strasnice,1
Na Hroude,Prubezna,1
Na Hroude,Strasnicka,1
Na Knizeci,Andel,2
Na Knizeci,Krizova,2
Na Knizeci,Plzenka,1
Na Padesatem,Dubecska,1
Na Padesatem,Zahradni Mesto,1
Na Piskach,Borislavka,1
Na Piskach,Hadovka,1
Na Veseli,Prazskeho povstani,2
Na Veseli,Vozovna Pankrac,1
Nabrezi Kapitana Jarose,Cechuv most,2
Nabrezi Kapitana Jarose,Dlouha trida,2
Nad Dzbanem,Nadrazi Veleslavin,1
Nad Dzbanem,Vozovna Vokovice,1
Nad Primaskou,Strasnicka,1
Nad Trojou,Hercovka,1
Nad Trojou,Trojska,1
Nademlejnska,Kbelska,1
Nademlejnska,Stary Hloubetin,1
Nademlejnska,U Elektry,0
Nadrazi Branik,Cerny kun,1
Nadrazi Branik,Pobrezni cesta,1
Nadrazi Holesovice,Ortenovo namesti,2
Nadrazi Holesovice,Trojska,2
Nadrazi Holesovice,Vystaviste Holesovice,2
Nadrazi Hostivar,Hostivarska,1
Nadrazi Liben,Kabesova,1
Nadrazi Liben,Multiarena Praha,2
Nadrazi Modrany,Cechova ctvrt,1
Nadrazi Modrany,Modranska skola,1
Nadrazi Podbaba,Zelena,1
Nadrazi Strasnice,Na Hroude,1
Nadrazi Strasnice,Radosovicka,1
Nadrazi Veleslavin,Cerveny Vrch,1
Nadrazi Veleslavin,Nad Dzbanem,1
Nadrazi Vrsovice,Bohemians,1
Nadrazi Vrsovice,Namesti Bratri Synku,2
Nadrazi Vrsovice,Otakarova,1
Nadrazi Vysocany,Poliklinika Vysocany,1
Nadrazi Vysocany,Spitalska,1
Nakladove nadrazi Zizkov,Biskupcova,1
Nakladove nadrazi Zizkov,Mezi Hrbitovy,1
Nakladove nadrazi Zizkov,Olsanska,1
Namesti Bratri Synku,Divadlo Na Fidlovacce,1
Namesti Bratri Synku,Horky,1
Namesti Bratri Synku,Nuselska radnice,1
Namesti Bratri Synku,Nuselske schody,2
Namesti Bratri Synku,Otakarova,2
Namesti Miru,I. P. Pavlova,2
Namesti Miru,Jana Masaryka,2
Namesti Miru,Sumavska,3
Namesti Republiky,Bila labut,2
Namesti Republiky,Dlouha trida,1
Namesti Republiky,Masarykovo nadrazi,1
Narodni divadlo,Jiraskovo namesti,1
Narodni divadlo,Narodni trida,2
Narodni divadlo,Staromestska,2
Narodni divadlo,Ujezd,2
Narodni trida,Karlovo namesti,2
Narodni trida,Lazarska,1
Narodni trida,Narodni divadlo,1
Nove Strasnice,Cernokostelecka,1
Nove Strasnice,Zborov - Strasnicke divadlo,1
Novomestska radnice,Lazarska,1
Novomestska radnice,Narodni trida,2
Novy Hloubetin,Kolbenova,1
Novy Hloubetin,Vozovna Hloubetin,1
Nuselska radnice,Horky,2
Nuselska radnice,Namesti Bratri Synku,2
Nuselska radnice,Paloucek,1
Nuselske schody,Namesti Bratri Synku,2
Nuselske schody,Otakarova,1
Nuselske schody,Pod Karlovem,1
Obchodni centrum Hostivar,Na Grosi,1
Obchodni centrum Hostivar,Sidliste Zahradni Mesto,1
Obora Hvezda,Maly Brevnov,1
Obora Hvezda,Vypich,2
Ocelarska,Balabenka,1
Ocelarska,Multiarena Praha,1
Ohrada,Biskupcova,1
Ohrada,Krejcarek,3
Ohrada,Vozovna Zizkov,1
Okrouhlicka,Ke Stirce,1
Okrouhlicka,Vychovatelna,1
Olsanska,Nakladove nadrazi Zizkov,1
Olsanska,Olsanske namesti,1
Olsanske hrbitovy,Flora,1
Olsanske hrbitovy,Zelivskeho,1
Olsanske namesti,Flora,3
Olsanske namesti,Lipanska,1
Olsanske namesti,Olsanska,1
Orechovka,Baterie,1
Orechovka,Sibeliova,1
Orionka,Flora,2
Orionka,Perunova,1
Ortenovo namesti,Delnicka,1
Ortenovo namesti,Nadrazi Holesovice,2
Ostrcilovo namesti,Albertov,1
Ostrcilovo namesti,Svatoplukova,1
Otakarova,Divadlo Na Fidlovacce,2
Otakarova,Nadrazi Vrsovice,1
Otakarova,Namesti Bratri Synku,1
Otakarova,Nuselska radnice,2
Otakarova,Nuselske schody,2
Palackeho namesti,Karlovo namesti,2
Palackeho namesti,Palackeho namesti (nabrezi),1
Palackeho namesti,Zborovska,2
Palackeho namesti (nabrezi),Jiraskovo namesti,2
Palackeho namesti (nabrezi),Palackeho namesti,1
Palackeho namesti (nabrezi),Vyton,1
Palackeho namesti (nabrezi),Zborovska,2
Palmovka,Balabenka,2
Palmovka,Invalidovna,2
Palmovka,Krejcarek,2
Palmovka,Libensky most,1
Palmovka,Stejskalova,1
Paloucek,Nuselska radnice,1
Paloucek,Prazskeho povstani,2
Perunova,Orionka,1
Perunova,Vinohradska vodarna,1
Petriny,Sidliste Petriny,1
Petriny,Vetrnik,1
Plynarna Michle,Michelska,2
Plzenka,Na Knizeci,1
Plzenka,Smichovske nadrazi,2
Pobrezni cesta,Nadrazi Branik,2
Pobrezni cesta,Pristaviste,1
Pod Jezerkou,Horky,2
Pod Jezerkou,Michelska,2
Pod Karlovem,Bruselska,1
Pod Karlovem,Nuselske schody,1
Podkovarska,Kabesova,1
Podkovarska,U Elektry,1
Podolska vodarna,Kublov,1
Podolska vodarna,Vyton,2
Pohorelec,Brusnice,2
Pohorelec,Malovanka,3
Poliklinika Barrandov,Chaplinovo namesti,1
Poliklinika Barrandov,Sidliste Barrandov,1
Poliklinika Modrany,Cechova ctvrt,1
Poliklinika Modrany,U Libusskeho potoka,1
Poliklinika Vysocany,Divadlo Gong,2
Poliklinika Vysocany,Nadrazi Vysocany,1
Postovka,Hotel Golf,1
Postovka,Kotlarka,1
Postovska,Kolbenova,1
Postovska,Spitalska,1
Prasny most,Brusnice,2
Prasny most,Hradcanska,2
Prasny most,Vitezne namesti,2
Prasny most,Vozovna Stresovice,1
Pravnicka fakulta,Cechuv most,2
Pravnicka fakulta,Staromestska,2
Prazska trznice,Delnicka,2
Prazska trznice,Vltavska,2
Prazskeho povstani,Na Veseli,2
Prazskeho povstani,Paloucek,2
Prazsky hrad,Brusnice,1
Prazsky hrad,Kralovsky letohradek,1
Pristaviste,Dvorce,2
Pristaviste,Pobrezni cesta,1
Prubezna,Kubanske namesti,1
Prubezna,Na Hroude,1
Prubezna,Strasnicka,1
Radhostska,Flora,2
Radhostska,Jiriho z Podebrad,2
Radlicka,Skola Radlice,0
Radosovicka,Dubecska,1
Radosovicka,Nadrazi Strasnice,1
Ricanova,Brevnovsky klaster,1
Ricanova,Vypich,1
Ruska,Krymska,1
Ruska,Vrsovicke namesti,2
Sibeliova,Orechovka,1
Sibeliova,Vozovna Stresovice,1
Sidliste Barrandov,Poliklinika Barrandov,1
Sidliste Cerveny Vrch,Borislavka,2
Sidliste Cerveny Vrch,Cerveny Vrch,2
Sidliste Dablice,Trebenicka,1
Sidliste Hloubetin,Hloubetin,1
Sidliste Hloubetin,Lehovec,1
Sidliste Modrany,Modranska rokle,1
Sidliste Petriny,Petriny,1
Sidliste Repy,Blatiny,1
Sidliste Zahradni Mesto,Obchodni centrum Hostivar,1
Sidliste Zahradni Mesto,Zahradni Mesto,1
Skola Radlice,Laurova,1
Skola Radlice,Radlicka,1
Slanska,Blatiny,1
Slanska,Hlusickova,1
Slavia,Koh-i-noor,2
Slavia,Kubanske namesti,1
Smichovske nadrazi,CSAD Smichov,1
Smichovske nadrazi,Plzenka,1
Solidarita,Nad Primaskou,2
Solidarita,Vozovna Strasnice,1
Solidarita,Zborov - Strasnicke divadlo,1
Sparta,Chotkovy sady,2
Sparta,Hradcanska,2
Sparta,Letenske namesti,2
Spitalska,Nadrazi Vysocany,1
Spitalska,Postovska,1
Spojovaci,Knezska luka,1
Staromestska,Karlovy lazne,1
Staromestska,Malostranska,2
Staromestska,Pravnicka fakulta,1
Stary Hloubetin,Kbelska,1
Stary Hloubetin,Nademlejnska,1
Stary Hloubetin,Vozovna Hloubetin,1
Stejskalova,Divadlo pod Palmovkou,1
